scope	status	symbol	expected_crc	expected_provider	actual
candidate-builtin	ok	__platform_driver_register	e7d4cefb	vmlinux+__crc+__ksymtab	symvers=e7d4cefb@vmlinux[line=4009];vmlinux=e7d4cefb@__crc___platform_driver_register[line=38134];ksymtab=1
candidate-builtin	ok	__pm_relax	fa7e566d	vmlinux+__crc+__ksymtab	symvers=fa7e566d@vmlinux[line=5835];vmlinux=fa7e566d@__crc___pm_relax[line=38135];ksymtab=1
candidate-builtin	ok	__pm_stay_awake	4b09d20b	vmlinux+__crc+__ksymtab	symvers=4b09d20b@vmlinux[line=4833];vmlinux=4b09d20b@__crc___pm_stay_awake[line=38136];ksymtab=1
candidate-builtin	ok	__pm_wakeup_event	98ec6f6f	vmlinux+__crc+__ksymtab	symvers=98ec6f6f@vmlinux[line=5371];vmlinux=98ec6f6f@__crc___pm_wakeup_event[line=38137];ksymtab=1
candidate-builtin	ok	__stack_chk_fail	db7305a1	vmlinux+__crc+__ksymtab	symvers=db7305a1@vmlinux[line=4565];vmlinux=db7305a1@__crc___stack_chk_fail[line=38223];ksymtab=1
candidate-builtin	ok	__stack_chk_guard	8f678b07	vmlinux+__crc+__ksymtab	symvers=8f678b07@vmlinux[line=4970];vmlinux=8f678b07@__crc___stack_chk_guard[line=38224];ksymtab=1
candidate-builtin	ok	__tasklet_schedule	0faef0ed	vmlinux+__crc+__ksymtab	symvers=0faef0ed@vmlinux[line=3002];vmlinux=0faef0ed@__crc___tasklet_schedule[line=38237];ksymtab=1
candidate-builtin	ok	__trace_bprintk	c72e1233	vmlinux+__crc+__ksymtab	symvers=c72e1233@vmlinux[line=6356];vmlinux=c72e1233@__crc___trace_bprintk[line=38241];ksymtab=1
candidate-builtin	ok	__udelay	9e7d6bd0	vmlinux+__crc+__ksymtab	symvers=9e7d6bd0@vmlinux[line=5243];vmlinux=9e7d6bd0@__crc___udelay[line=38275];ksymtab=1
candidate-builtin	ok	__wake_up	65345022	vmlinux+__crc+__ksymtab	symvers=65345022@vmlinux[line=6771];vmlinux=65345022@__crc___wake_up[line=38286];ksymtab=1
candidate-builtin	ok	_raw_spin_lock_bh	f6f0ffed	vmlinux+__crc+__ksymtab	symvers=f6f0ffed@vmlinux[line=28];vmlinux=f6f0ffed@__crc__raw_spin_lock_bh[line=38320];ksymtab=1
candidate-builtin	ok	_raw_spin_lock_irqsave	96220280	vmlinux+__crc+__ksymtab	symvers=96220280@vmlinux[line=2416];vmlinux=96220280@__crc__raw_spin_lock_irqsave[line=38322];ksymtab=1
candidate-builtin	ok	_raw_spin_trylock	305cec12	vmlinux+__crc+__ksymtab	symvers=305cec12@vmlinux[line=4280];vmlinux=305cec12@__crc__raw_spin_trylock[line=38323];ksymtab=1
candidate-builtin	ok	_raw_spin_unlock_bh	abbbd444	vmlinux+__crc+__ksymtab	symvers=abbbd444@vmlinux[line=1816];vmlinux=abbbd444@__crc__raw_spin_unlock_bh[line=38326];ksymtab=1
