  PID  PPID USER         NAME                        ARGS                       
  194     2 root         [ccci_fsm1]                 [ccci_fsm1]
  195     2 root         [btif_rxd]                  [btif_rxd]
  196     2 root         [cpu_loading_wor]           [cpu_loading_wor]
  197     2 root         [bcct_chrlmt_wor]           [bcct_chrlmt_wor]
  198     2 root         [hang_detect]               [hang_detect]
  199     2 root         [hang_detect1]              [hang_detect1]
  200     2 root         [cpu_freq_wq]               [cpu_freq_wq]
  201     2 root         [cpu_core_wq]               [cpu_core_wq]
  204     2 root         [uether]                    [uether]
  205     2 root         [uether_rx1]                [uether_rx1]
  206     2 root         [dm_bufio_cache]            [dm_bufio_cache]
  207     2 root         [msdc-tune]                 [msdc-tune]
  208     2 root         [binder]                    [binder]
  209     2 root         [kworker/6:1]               [kworker/6:1]
  215     2 root         [ipv6_addrconf]             [ipv6_addrconf]
  228     2 root         [deferwq]                   [deferwq]
  229     2 root         [EEM_CTRL_LITTLE]           [EEM_CTRL_LITTLE]
  230     2 root         [EEM_CTRL_GPU]              [EEM_CTRL_GPU]
  231     2 root         [EEM_CTRL_BIG]              [EEM_CTRL_BIG]
  232     2 root         [hps_main]                  [hps_main]
  233     2 root         [stk_ps_tune0_wq]           [stk_ps_tune0_wq]
  234     2 root         [accel_polling]             [accel_polling]
  235     2 root         [kworker/7:1H]              [kworker/7:1H]
  236     2 root         [kworker/6:1H]              [kworker/6:1H]
  237     2 root         [irq/291-1124000]           [irq/291-1124000]
  238     2 root         [kworker/5:1H]              [kworker/5:1H]
  239     2 root         [kworker/4:1H]              [kworker/4:1H]
  240     2 root         [exe_cq]                    [exe_cq]
  241     2 root         [mmcqd/0]                   [mmcqd/0]
  242     2 root         [mmcqd/0boot0]              [mmcqd/0boot0]
  243     2 root         [kworker/3:1H]              [kworker/3:1H]
  244     2 root         [mmcqd/0boot1]              [mmcqd/0boot1]
  245     2 root         [mmcqd/0rpmb]               [mmcqd/0rpmb]
  246     2 root         [kworker/2:1H]              [kworker/2:1H]
  247     2 root         [kworker/1:1H]              [kworker/1:1H]
  248     2 root         [mt_fbc_work]               [mt_fbc_work]
  249     2 root         [f_mtp]                     [f_mtp]
  250     2 root         [file-storage]              [file-storage]
  251     2 root         [mtk-tpd]                   [mtk-tpd]
  252     2 root         [mtk-battery]               [mtk-battery]
  253     2 root         [fts_wq]                    [fts_wq]
  254     2 root         [mt-wdk]                    [mt-wdk]
  255     2 root         [mtk-tpd]                   [mtk-tpd]
  256     2 root         [touch_resume]              [touch_resume]
  257     2 root         [bat_routine_thr]           [bat_routine_thr]
  259     2 root         [bat_update_thre]           [bat_update_thre]
  260     2 root         [mtk charger_hv_]           [mtk charger_hv_]
  261     2 root         [wdtk-0]                    [wdtk-0]
  262     2 root         [wdtk-1]                    [wdtk-1]
  263     2 root         [wdtk-2]                    [wdtk-2]
  264     2 root         [silfp_wq]                  [silfp_wq]
  265     2 root         [wdtk-3]                    [wdtk-3]
  266     2 root         [wdtk-4]                    [wdtk-4]
  267     2 root         [wdtk-5]                    [wdtk-5]
  268     2 root         [wdtk-6]                    [wdtk-6]
  269     2 root         [wdtk-7]                    [wdtk-7]
  270     2 root         [kworker/0:1H]              [kworker/0:1H]
  271     2 root         [ext4-rsv-conver]           [ext4-rsv-conver]
  272     2 root         [ext4-rsv-conver]           [ext4-rsv-conver]
  274     1 root         init                        init subcontext u:r:vendor_init:s0 15
  275     1 root         init                        init subcontext u:r:vendor_init:s0 16
  280     1 root         ueventd                     ueventd
  285     1 logd         logd                        logd
  286     1 system       servicemanager              servicemanager
  287     1 system       hwservicemanager            hwservicemanager
  288     1 system       vndservicemanager           vndservicemanager /dev/vndbinder
  290     1 root         vold                        vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  298     2 root         [kauditd]                   [kauditd]
  308     2 root         [jbd2/mmcblk0p30]           [jbd2/mmcblk0p30]
  309     2 root         [ext4-rsv-conver]           [ext4-rsv-conver]
  313     2 root         [jbd2/mmcblk0p29]           [jbd2/mmcblk0p29]
  314     2 root         [ext4-rsv-conver]           [ext4-rsv-conver]
  316     2 root         [jbd2/mmcblk0p8-]           [jbd2/mmcblk0p8-]
  317     2 root         [ext4-rsv-conver]           [ext4-rsv-conver]
  319     2 root         [jbd2/mmcblk0p9-]           [jbd2/mmcblk0p9-]
  320     2 root         [ext4-rsv-conver]           [ext4-rsv-conver]
  322     2 root         [jbd2/mmcblk0p6-]           [jbd2/mmcblk0p6-]
  323     2 root         [ext4-rsv-conver]           [ext4-rsv-conver]
  326     1 system       android.system.suspend@1.0-service android.system.suspend@1.0-service
  327     1 nobody       android.hardware.keymaster@3.0-service android.hardware.keymaster@3.0-service
  329     1 system       wmt_launcher                wmt_launcher -p /vendor/firmware/ -o 1
  337     1 root         apexd                       apexd
  352     1 root         netd                        netd
  353     1 root         zygote64                    zygote64
  354     1 root         zygote                      zygote
  356     1 system       android.hidl.allocator@1.0-service android.hidl.allocator@1.0-service
  357     1 audioserver  android.hardware.audio@5.0-service-mediatek android.hardware.audio@5.0-service-mediatek
  358     1 bluetooth    android.hardware.bluetooth@1.0-service-mediatek android.hardware.bluetooth@1.0-service-mediatek
  359     1 media        android.hardware.cas@1.1-service android.hardware.cas@1.1-service
  360     1 system       android.hardware.configstore@1.1-service android.hardware.configstore@1.1-service
  361     1 media        android.hardware.drm@1.0-service android.hardware.drm@1.0-service
  362     1 system       android.hardware.gatekeeper@1.0-service android.hardware.gatekeeper@1.0-service
  363     1 system       android.hardware.gnss@2.0-service-mediatek android.hardware.gnss@2.0-service-mediatek
  364     1 system       android.hardware.graphics.allocator@2.0-service android.hardware.graphics.allocator@2.0-service
  365     1 system       android.hardware.graphics.composer@2.1-service android.hardware.graphics.composer@2.1-service
  366     1 system       android.hardware.health@2.0-service android.hardware.health@2.0-service
  367     1 system       android.hardware.light@2.0-service android.hardware.light@2.0-service
  368     1 system       android.hardware.memtrack@1.0-service android.hardware.memtrack@1.0-service
  369     1 system       android.hardware.sensors@2.0-service android.hardware.sensors@2.0-service
  370     1 system       android.hardware.thermal@1.0-service android.hardware.thermal@1.0-service
  371     1 system       android.hardware.usb@1.1-service-mediatek android.hardware.usb@1.1-service-mediatek
  372     1 system       android.hardware.vibrator@1.0-service android.hardware.vibrator@1.0-service
  373     1 system       lbs_hidl_service            lbs_hidl_service
  374     1 system       vendor.mediatek.hardware.gpu@1.0-service vendor.mediatek.hardware.gpu@1.0-service
  376     1 radio        vendor.mediatek.hardware.imsa@1.0-service vendor.mediatek.hardware.imsa@1.0-service
  378     1 system       vendor.mediatek.hardware.mtkpower@1.0-service vendor.mediatek.hardware.mtkpower@1.0-service
  380     1 root         vendor.mediatek.hardware.nvram@1.1-service vendor.mediatek.hardware.nvram@1.1-service
  381     1 radio        vendor.mediatek.hardware.wfo@1.0-service vendor.mediatek.hardware.wfo@1.0-service
  382     1 nobody       ashmemd                     ashmemd
  383     1 audioserver  audioserver                 audioserver
  384     1 gpu_service  gpuservice                  gpuservice
  385     1 lmkd         lmkd                        lmkd
  386     1 system       surfaceflinger              surfaceflinger
  394     1 system       fuelgauged                  fuelgauged
  402     1 radio        ccci_fsd                    ccci_fsd 0
  404     1 radio        ccci_fsd                    ccci_fsd 2
  405     1 system       ccci_mdinit                 ccci_mdinit 0
  407     1 radio        ccci_rpcd                   ccci_rpcd 0
  408     2 root         [kworker/7:1]               [kworker/7:1]
  409     1 radio        mtkmal                      mtkmal
  412     1 root         wfca                        wfca
  427     1 shell        sh                          sh
  443     2 root         [kbase_event]               [kbase_event]
  457     2 root         [mtk_stp_psm]               [mtk_stp_psm]
  458     2 root         [mtk_stp_btm]               [mtk_stp_btm]
  459     2 root         [mtk_wmtd]                  [mtk_wmtd]
  460     2 root         [mtk_wmtd_worker]           [mtk_wmtd_worker]
  476     1 root         adb_root                    adb_root
  478     1 cameraserver cameraserver                cameraserver
  479     1 drm          drmserver                   drmserver
  481     1 incidentd    incidentd                   incidentd
  482     1 root         installd                    installd
  485   352 root         iptables-restore            iptables-restore --noflush -w -v
  486   352 root         ip6tables-restore           ip6tables-restore --noflush -w -v
  491     1 keystore     keystore                    keystore /data/misc/keystore
  495     1 media        mediadrmserver              mediadrmserver
  499     1 mediaex      media.extractor             media.extractor aextractor
  500     1 media        media.metrics               media.metrics diametrics
  502     1 media        mediaserver                 mediaserver
  503     1 statsd       statsd                      statsd
  506     1 root         storaged                    storaged
  509     1 wifi         wificond                    wificond
  511     1 cameraserver camerahalserver             camerahalserver
  515     1 gps          mnld                        mnld
  522     1 system       thermal                     thermal
  525     2 root         [md1_tx0_worker]            [md1_tx0_worker]
  527     1 system       thermalloadalgod            thermalloadalgod
  529     2 root         [md1_tx1_worker]            [md1_tx1_worker]
  531     2 root         [md1_tx2_worker]            [md1_tx2_worker]
  532     1 wifi         wlan_assistant              wlan_assistant
  536     1 gps          mtk_agpsd                   mtk_agpsd
  537     2 root         [md1_tx3_worker]            [md1_tx3_worker]
  539     2 root         [md1_tx4_worker]            [md1_tx4_worker]
  541     2 root         [md1_tx5_worker]            [md1_tx5_worker]
  542     2 root         [md1_tx6_worker]            [md1_tx6_worker]
  544     2 root         [md1_tx7_worker]            [md1_tx7_worker]
  545     2 root         [md1_rx0_worker]            [md1_rx0_worker]
  549     2 root         [md1_rx1_worker]            [md1_rx1_worker]
  551     2 root         [md1_rx2_worker]            [md1_rx2_worker]
  552     2 root         [md1_rx3_worker]            [md1_rx3_worker]
  553     2 root         [cldma_rxq3]                [cldma_rxq3]
  555     2 root         [md1_rx4_worker]            [md1_rx4_worker]
  556     1 system       vendor.mediatek.hardware.pq@2.2-service vendor.mediatek.hardware.pq@2.2-service
  557     2 root         [cldma_rxq4]                [cldma_rxq4]
  560     2 root         [md1_rx5_worker]            [md1_rx5_worker]
  561     1 mediacodec   media.codec                 media.codec hw/android.hardware.media.omx@1.0-service
  567     2 root         [cldma_rxq5]                [cldma_rxq5]
  568     2 root         [md1_rx6_worker]            [md1_rx6_worker]
  571     2 root         [md1_rx7_worker]            [md1_rx7_worker]
  581     1 mediacodec   media.swcodec               media.swcodec oid.media.swcodec/bin/mediaswcodec
  589     1 system       gatekeeperd                 gatekeeperd /data/misc/gatekeeper
  615     1 tombstoned   tombstoned                  tombstoned
  627     1 root         epdg_wod                    epdg_wod
  637     1 system       netdagent                   netdagent
  741     2 root         [gpiokey_eint]              [gpiokey_eint]
  769     1 radio        gsm0710muxd                 gsm0710muxd -s /dev/ttyC0 -f 512 -n 8 -m basic
  817     1 root         mtkrild                     mtkrild
  874   353 system       system_server               system_server
  900     1 radio        rilproxy                    rilproxy -l libril-k50sv1-shim.so
 1076     1 wifi         android.hardware.wifi@1.0-service-lazy-mediatek android.hardware.wifi@1.0-service-lazy-mediatek
 1082   353 bluetooth    com.android.bluetooth       com.android.bluetooth
 1101   353 u0_a107      com.android.systemui        com.android.systemui
 1223   354 webview_zygote webview_zygote            webview_zygote
 1240   353 network_stack com.android.networkstack   com.android.networkstack
 1279     2 root         [tx_thread]                 [tx_thread]
 1281     2 root         [kworker/7:2]               [kworker/7:2]
 1284   353 radio        com.android.phone           com.android.phone
 1288     1 wifi         wpa_supplicant              wpa_supplicant -O/data/vendor/wifi/sock -g@android:wpa_wlan0
 1307   353 u0_a69       com.google.android.setupwizard com.google.android.setupwizard
 1362   353 u0_a65       android.ext.services        android.ext.services
 1552     2 root         [kbase_event]               [kbase_event]
 1565   353 radio        com.mediatek.ims            com.mediatek.ims
 1708     2 root         [kbase_event]               [kbase_event]
 1766   353 u0_a119      com.android.inputmethod.latin com.android.inputmethod.latin
 1942     1 system       k50sv1_perfd                k50sv1_perfd
 1990   353 secure_element com.android.se            com.android.se
 2023   353 u0_a67       org.lineageos.audiofx       org.lineageos.audiofx
 2040   353 u0_a56       com.google.process.gservices com.google.process.gservices
 2068   353 u0_a82       com.android.smspush         com.android.smspush
 2088   353 u0_a109      com.android.launcher3       com.android.launcher3
 2347   353 u0_a117      com.android.email           com.android.email
 5828     2 root         [kbase_event]               [kbase_event]
 6091     2 root         [kworker/2:1]               [kworker/2:1]
 6092     2 root         [kworker/3:1]               [kworker/3:1]
 6100     2 root         [kworker/1:0]               [kworker/1:0]
 6282     2 root         [kworker/3:0]               [kworker/3:0]
 8643     2 root         [kworker/2:2]               [kworker/2:2]
 9136     2 root         [kworker/u16:2]             [kworker/u16:2]
 9218     2 root         [kworker/1:1]               [kworker/1:1]
 9283     2 root         [kworker/3:2]               [kworker/3:2]
 9760     2 root         [kbase_event]               [kbase_event]
 9809     2 root         [kworker/6:0]               [kworker/6:0]
10149     2 root         [kworker/2:0]               [kworker/2:0]
10289     2 root         [kworker/u17:3]             [kworker/u17:3]
11119   353 system       com.android.settings        com.android.settings
11165     2 root         [kbase_event]               [kbase_event]
11366     2 root         [kbase_event]               [kbase_event]
11583   353 u0_a57       android.process.media       android.process.media
11845     1 mdnsr        mdnsd                       mdnsd
11913     1 root         adbd                        adbd --root_seclabel=u:r:su:s0
11935   353 u0_a53       com.android.cellbroadcastreceiver com.android.cellbroadcastreceiver
13969     2 root         [kworker/1:2]               [kworker/1:2]
14342     2 root         [kworker/u17:0]             [kworker/u17:0]
14424     2 root         [kworker/4:2]               [kworker/4:2]
14430     2 root         [kworker/5:2]               [kworker/5:2]
14625   353 u0_a68       com.google.android.googlequicksearchbox:search com.google.android.googlequicksearchbox:search
14707   353 u0_a68       com.google.android.googlequicksearchbox:interactor com.google.android.googlequicksearchbox:interactor
15411   353 u0_a56       com.google.android.gms.persistent com.google.android.gms.persistent
15878   353 u0_a56       com.google.android.gms.unstable com.google.android.gms.unstable
15983     2 root         [kbase_event]               [kbase_event]
16527   353 u0_a114      com.android.settings.intelligence com.android.settings.intelligence
16621   353 u0_a129      com.android.deskclock       com.android.deskclock
16663     2 root         [kbase_event]               [kbase_event]
16698   353 u0_a123      org.lineageos.etar          org.lineageos.etar
16756     2 root         [kbase_event]               [kbase_event]
16825     2 root         [kworker/u16:0]             [kworker/u16:0]
16893   353 u0_a56       com.google.android.gms      com.google.android.gms
16955     2 root         [kworker/5:1]               [kworker/5:1]
16994     2 root         [kworker/4:1]               [kworker/4:1]
17319   353 u0_a122      com.huawei.hwid.core        com.huawei.hwid.core
19265   353 u0_a75       com.android.vending         com.android.vending
19687   353 u0_a50       android.process.acore       android.process.acore
19754   353 u0_a68       com.google.android.googlequicksearchbox:googleapp com.google.android.googlequicksearchbox:googleapp
19837   353 u0_a75       com.android.vending:instant_app_installer com.android.vending:instant_app_installer
19906     2 root         [kworker/0:1]               [kworker/0:1]
19911   353 u0_a51       org.lineageos.updater       org.lineageos.updater
19945   353 u0_a72       com.google.android.partnersetup com.google.android.partnersetup
19969   353 u0_a122      com.huawei.hwid.persistent  com.huawei.hwid.persistent
20063     2 root         [kworker/0:0]               [kworker/0:0]
20072     2 root         [kworker/0:2]               [kworker/0:2]
20107     2 root         [kworker/u16:1]             [kworker/u16:1]
20108     2 root         [kworker/u17:1]             [kworker/u17:1]
20109     2 root         [kworker/0:3]               [kworker/0:3]
20110     2 root         [kworker/5:0]               [kworker/5:0]
20112   353 u0_a55       com.android.providers.calendar com.android.providers.calendar
20133     2 root         [kworker/u16:3]             [kworker/u16:3]
20154     2 root         [kworker/u17:2]             [kworker/u17:2]
20174     2 root         [kbase_event]               [kbase_event]
20213  1223 u0_i9004     com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0
20280   354 u0_a124      com.google.android.webview:webview_service com.google.android.webview:webview_service
20341     2 root         [kworker/u16:4]             [kworker/u16:4]
20344     2 root         [kworker/4:0]               [kworker/4:0]
20355   353 u0_a122      com.huawei.hwid.container3  com.huawei.hwid.container3
23120 11913 root         ps                          ps -A -o PID,PPID,USER,NAME,ARGS
